"OTU","p.value","adj.p.value"
"ASV1200",1,1
"ASV1201",1,1
"ASV1202",1,1
"ASV1203",1,1
"ASV1206",1,1
"ASV1207",1,1
"ASV1208",1,1
"ASV1209",1,1
"ASV121",1,1
"ASV1210",1,1
"ASV1211",1,1
"ASV1212",1,1
"ASV1213",1,1
"ASV1214",1,1
"ASV1215",1,1
"ASV1216",1,1
"ASV1217",1,1
"ASV1218",1,1
"ASV1219",1,1
"ASV122",1,1
"ASV1220",1,1
"ASV1221",1,1
"ASV1222",1,1
"ASV1223",1,1
"ASV1225",1,1
"ASV1226",1,1
"ASV1227",1,1
"ASV1228",NA,NA
"ASV123",1,1
"ASV1230",NA,NA
"ASV1232",1,1
"ASV1233",1,1
"ASV1234",1,1
"ASV1235",1,1
"ASV1236",1,1
"ASV1237",1,1
"ASV1238",1,1
"ASV1239",NA,NA
"ASV124",NA,NA
"ASV1240",NA,NA
"ASV1241",1,1
"ASV1243",1,1
"ASV1244",1,1
"ASV1245",1,1
"ASV1246",1,1
"ASV1247",1,1
"ASV1248",1,1
"ASV1249",1,1
"ASV125",1,1
"ASV1250",1,1
"ASV1252",NA,NA
"ASV1253",1,1
"ASV1254",1,1
"ASV1255",1,1
"ASV1256",1,1
"ASV1258",1,1
"ASV1259",1,1
"ASV126",1,1
"ASV1260",1,1
"ASV1261",1,1
"ASV1262",1,1
"ASV1263",1,1
"ASV1265",1,1
"ASV1266",NA,NA
"ASV1267",1,1
"ASV1268",1,1
"ASV1269",1,1
"ASV127",1,1
"ASV1270",NA,NA
"ASV1271",1,1
"ASV1272",1,1
"ASV1273",1,1
"ASV1274",1,1
"ASV1275",1,1
"ASV1276",1,1
"ASV1277",1,1
"ASV1278",1,1
"ASV128",1,1
"ASV1281",1,1
"ASV1283",1,1
"ASV1284",1,1
"ASV1285",1,1
"ASV1286",1,1
"ASV1287",1,1
"ASV1288",1,1
"ASV1289",1,1
"ASV129",1,1
"ASV1290",1,1
"ASV1291",1,1
"ASV1292",1,1
"ASV1293",1,1
"ASV1294",1,1
"ASV1295",1,1
"ASV1296",1,1
"ASV1297",1,1
"ASV1298",1,1
"ASV1299",1,1
"ASV130",1,1
"ASV1300",1,1
"ASV1301",1,1
"ASV1302",1,1
"ASV1304",1,1
"ASV1306",1,1
"ASV1307",1,1
"ASV1308",1,1
"ASV1309",1,1
"ASV131",1,1
"ASV1310",1,1
"ASV1311",1,1
"ASV1312",1,1
"ASV1314",1,1
"ASV1315",1,1
"ASV1316",1,1
"ASV1317",NA,NA
"ASV1318",1,1
"ASV1319",1,1
"ASV132",1,1
"ASV1320",1,1
"ASV1321",1,1
"ASV1323",1,1
"ASV1324",NA,NA
"ASV1325",1,1
"ASV1326",1,1
"ASV1328",NA,NA
"ASV1329",1,1
"ASV133",1,1
"ASV1330",1,1
"ASV1331",1,1
"ASV1332",NA,NA
"ASV1333",1,1
"ASV1335",1,1
"ASV1336",1,1
"ASV1337",1,1
"ASV1338",1,1
"ASV1339",1,1
"ASV134",1,1
"ASV1340",NA,NA
"ASV1341",1,1
"ASV1342",1,1
"ASV1343",1,1
"ASV1345",1,1
"ASV1346",NA,NA
"ASV1347",1,1
"ASV1348",NA,NA
"ASV1349",1,1
"ASV1350",1,1
"ASV1351",1,1
"ASV1352",NA,NA
"ASV1353",1,1
"ASV1354",1,1
"ASV1355",1,1
"ASV1356",1,1
"ASV1357",1,1
"ASV1358",1,1
"ASV1359",1,1
"ASV136",1,1
"ASV1360",1,1
"ASV1361",1,1
"ASV1362",1,1
"ASV1363",1,1
"ASV1364",1,1
"ASV1366",1,1
"ASV1367",1,1
"ASV1368",NA,NA
"ASV1371",1,1
"ASV1373",1,1
"ASV1374",1,1
"ASV1375",NA,NA
"ASV1378",1,1
"ASV1379",1,1
"ASV138",1,1
"ASV1380",1,1
"ASV1381",1,1
"ASV1382",1,1
"ASV1384",1,1
"ASV1385",1,1
"ASV1386",1,1
"ASV1387",1,1
"ASV1388",1,1
"ASV1389",1,1
"ASV1391",1,1
"ASV1392",1,1
"ASV1393",1,1
"ASV1395",1,1
"ASV1396",1,1
"ASV1399",1,1
"ASV14",NA,NA
"ASV140",1,1
"ASV1401",1,1
"ASV1402",NA,NA
"ASV1403",1,1
"ASV1404",1,1
"ASV1406",NA,NA
"ASV1407",1,1
"ASV1408",1,1
"ASV1409",1,1
"ASV1410",1,1
"ASV1412",1,1
"ASV1413",1,1
"ASV1414",1,1
"ASV1415",NA,NA
"ASV1416",1,1
"ASV1418",NA,NA
"ASV142",1,1
"ASV1420",1,1
"ASV1421",1,1
"ASV1422",1,1
"ASV1423",1,1
"ASV1425",1,1
"ASV1426",1,1
"ASV1427",1,1
"ASV1428",1,1
"ASV1429",1,1
"ASV1430",1,1
"ASV1431",1,1
"ASV1432",1,1
"ASV1433",1,1
"ASV1434",1,1
"ASV1435",1,1
"ASV1436",1,1
"ASV1437",1,1
"ASV144",1,1
"ASV1440",1,1
"ASV1441",NA,NA
"ASV1442",1,1
"ASV1443",1,1
"ASV1446",1,1
"ASV1447",NA,NA
"ASV1448",NA,NA
"ASV1449",1,1
"ASV145",1,1
"ASV1450",1,1
"ASV1451",1,1
"ASV1453",1,1
"ASV1454",1,1
"ASV1455",1,1
"ASV1456",1,1
"ASV1457",1,1
"ASV1458",1,1
"ASV1459",1,1
"ASV146",1,1
"ASV1460",1,1
"ASV1461",1,1
"ASV1463",1,1
"ASV1464",1,1
"ASV1466",1,1
"ASV1467",1,1
"ASV1468",1,1
"ASV1469",NA,NA
"ASV1470",1,1
"ASV1471",1,1
"ASV1472",1,1
"ASV1473",1,1
"ASV1474",1,1
"ASV1475",1,1
"ASV1476",1,1
"ASV1477",1,1
"ASV1478",NA,NA
"ASV1479",1,1
"ASV148",1,1
"ASV1480",1,1
"ASV1481",1,1
"ASV1482",1,1
"ASV1483",1,1
"ASV1484",1,1
"ASV1485",NA,NA
"ASV1486",1,1
"ASV1487",1,1
"ASV1488",1,1
"ASV1489",1,1
"ASV149",1,1
"ASV1490",NA,NA
"ASV1491",1,1
"ASV1492",1,1
"ASV1493",1,1
"ASV1494",1,1
"ASV1495",NA,NA
"ASV1496",1,1
"ASV1497",1,1
"ASV1499",NA,NA
