"OTU","p.value","adj.p.value"
"ASV2378",1,1
"ASV2379",1,1
"ASV238",1,1
"ASV2380",1,1
"ASV2381",1,1
"ASV2382",1,1
"ASV2385",1,1
"ASV2386",1,1
"ASV2387",1,1
"ASV2389",1,1
"ASV239",1,1
"ASV2390",1,1
"ASV2392",1,1
"ASV2393",1,1
"ASV2394",1,1
"ASV2395",1,1
"ASV2396",1,1
"ASV2397",1,1
"ASV2398",1,1
"ASV2399",1,1
"ASV24",1,1
"ASV2400",1,1
"ASV2401",1,1
"ASV2403",1,1
"ASV2404",1,1
"ASV2405",NA,NA
"ASV2406",1,1
"ASV2407",1,1
"ASV2408",NA,NA
"ASV2409",1,1
"ASV2410",1,1
"ASV2411",1,1
"ASV2412",1,1
"ASV2413",NA,NA
"ASV2414",1,1
"ASV2415",1,1
"ASV2416",1,1
"ASV2417",NA,NA
"ASV2418",1,1
"ASV2419",1,1
"ASV242",1,1
"ASV2420",1,1
"ASV2421",NA,NA
"ASV2422",NA,NA
"ASV2423",1,1
"ASV2424",1,1
"ASV2425",1,1
"ASV2426",1,1
"ASV2428",1,1
"ASV2429",1,1
"ASV243",1,1
"ASV2431",1,1
"ASV2432",1,1
"ASV2433",1,1
"ASV2434",1,1
"ASV2435",1,1
"ASV2437",1,1
"ASV2438",1,1
"ASV2439",1,1
"ASV244",1,1
"ASV2440",1,1
"ASV2441",1,1
"ASV2442",1,1
"ASV2443",1,1
"ASV2444",1,1
"ASV2445",1,1
"ASV2446",1,1
"ASV2448",1,1
"ASV2449",1,1
"ASV245",1,1
"ASV2450",1,1
"ASV2451",1,1
"ASV2452",1,1
"ASV2453",1,1
"ASV2454",1,1
"ASV2455",1,1
"ASV2459",1,1
"ASV246",1,1
"ASV2460",1,1
"ASV2461",1,1
"ASV2462",1,1
"ASV2463",1,1
"ASV2465",1,1
"ASV2467",1,1
"ASV2469",1,1
"ASV247",1,1
"ASV2470",1,1
"ASV2471",1,1
"ASV2472",1,1
"ASV2473",1,1
"ASV2474",1,1
"ASV2476",1,1
"ASV2477",1,1
"ASV2479",1,1
"ASV248",NA,NA
"ASV2481",1,1
"ASV2482",1,1
"ASV2483",NA,NA
"ASV2485",1,1
"ASV2486",1,1
"ASV2487",1,1
"ASV2488",NA,NA
"ASV2489",NA,NA
"ASV2490",1,1
"ASV2491",1,1
"ASV2492",1,1
"ASV2494",1,1
"ASV2495",1,1
"ASV2496",1,1
"ASV2498",NA,NA
"ASV2499",1,1
"ASV25",1,1
"ASV250",1,1
"ASV2500",NA,NA
"ASV2501",1,1
"ASV2502",1,1
"ASV2503",1,1
"ASV2504",1,1
"ASV2505",1,1
"ASV2506",1,1
"ASV2507",1,1
"ASV2508",1,1
"ASV2509",NA,NA
"ASV251",1,1
"ASV2510",1,1
"ASV2511",1,1
"ASV2512",1,1
"ASV2513",1,1
"ASV2514",1,1
"ASV2515",1,1
"ASV2516",1,1
"ASV2517",NA,NA
"ASV2519",1,1
"ASV252",1,1
"ASV2523",1,1
"ASV2524",1,1
"ASV2525",1,1
"ASV2526",1,1
"ASV253",1,1
"ASV2530",1,1
"ASV2531",1,1
"ASV2532",1,1
"ASV2533",1,1
"ASV2534",NA,NA
"ASV2535",1,1
"ASV2536",1,1
"ASV2538",1,1
"ASV2539",1,1
"ASV254",1,1
"ASV2540",1,1
"ASV2541",1,1
"ASV2542",1,1
"ASV2543",1,1
"ASV2544",1,1
"ASV2546",1,1
"ASV2547",1,1
"ASV2548",1,1
"ASV2549",1,1
"ASV255",1,1
"ASV2552",1,1
"ASV2553",1,1
"ASV2554",1,1
"ASV2555",1,1
"ASV2556",1,1
"ASV2557",1,1
"ASV2558",1,1
"ASV256",1,1
"ASV2560",NA,NA
"ASV2561",1,1
"ASV2563",NA,NA
"ASV2564",1,1
"ASV2565",1,1
"ASV2566",1,1
"ASV2567",1,1
"ASV2568",1,1
"ASV257",1,1
"ASV2570",1,1
"ASV2571",1,1
"ASV2572",1,1
"ASV2573",1,1
"ASV2574",1,1
"ASV2575",1,1
"ASV2576",NA,NA
"ASV2578",1,1
"ASV2579",1,1
"ASV258",1,1
"ASV2580",1,1
"ASV2581",1,1
"ASV2582",1,1
"ASV2583",NA,NA
"ASV2584",1,1
"ASV2585",NA,NA
"ASV2587",1,1
"ASV2588",1,1
"ASV2589",1,1
"ASV259",NA,NA
"ASV2590",1,1
"ASV2591",1,1
"ASV2592",NA,NA
"ASV2594",1,1
"ASV2595",1,1
"ASV2596",1,1
"ASV2598",NA,NA
"ASV2599",1,1
"ASV26",1,1
"ASV2600",1,1
"ASV2601",1,1
"ASV2602",1,1
"ASV2603",1,1
"ASV2605",1,1
"ASV2606",1,1
"ASV2608",1,1
"ASV2610",1,1
"ASV2611",1,1
"ASV2613",1,1
"ASV2615",1,1
"ASV2616",1,1
"ASV2617",1,1
"ASV2618",1,1
"ASV2619",1,1
"ASV262",1,1
"ASV2620",1,1
"ASV2621",1,1
"ASV2622",1,1
"ASV2623",1,1
"ASV2624",1,1
"ASV2625",1,1
"ASV2626",1,1
"ASV2629",1,1
"ASV263",1,1
"ASV2630",1,1
"ASV2631",1,1
"ASV2633",1,1
"ASV2634",1,1
"ASV2635",1,1
"ASV2639",1,1
"ASV264",1,1
"ASV2640",1,1
"ASV2641",1,1
"ASV2642",1,1
"ASV2643",1,1
"ASV2644",1,1
"ASV2645",1,1
"ASV2646",1,1
"ASV2647",1,1
"ASV2649",1,1
"ASV265",NA,NA
"ASV2651",1,1
"ASV2652",1,1
"ASV2653",1,1
"ASV2654",NA,NA
"ASV2655",1,1
"ASV2656",1,1
"ASV2658",1,1
"ASV2659",1,1
"ASV266",1,1
"ASV2660",1,1
"ASV2661",1,1
"ASV2662",1,1
"ASV2663",1,1
"ASV2664",1,1
"ASV2665",1,1
"ASV2666",1,1
"ASV2667",1,1
"ASV267",1,1
"ASV2670",1,1
"ASV2671",NA,NA
"ASV2672",1,1
"ASV2673",1,1
"ASV2674",1,1
"ASV2676",1,1
"ASV2677",1,1
"ASV2678",1,1
"ASV2679",1,1
"ASV268",1,1
"ASV2680",1,1
"ASV2681",1,1
"ASV2682",1,1
"ASV2683",1,1
"ASV2684",1,1
"ASV2685",NA,NA
"ASV2686",NA,NA
"ASV2687",1,1
"ASV2688",1,1
"ASV2689",1,1
"ASV269",1,1
"ASV2692",1,1
"ASV2693",1,1
"ASV2694",1,1
"ASV2695",1,1
"ASV2696",1,1
"ASV2697",1,1
"ASV2698",1,1
"ASV27",1,1
"ASV270",1,1
"ASV2700",1,1
"ASV2701",1,1
"ASV2702",1,1
"ASV2703",1,1
"ASV2704",1,1
"ASV2705",1,1
"ASV2706",1,1
"ASV2707",1,1
"ASV2708",1,1
"ASV2709",1,1
"ASV271",1,1
"ASV2711",1,1
"ASV2712",1,1
"ASV2713",1,1
"ASV2718",1,1
"ASV272",1,1
"ASV2720",1,1
"ASV2721",1,1
"ASV2722",1,1
"ASV2723",1,1
"ASV2724",1,1
"ASV2725",1,1
"ASV2729",1,1
"ASV273",1,1
"ASV2730",1,1
"ASV2731",1,1
"ASV2732",1,1
"ASV2734",1,1
"ASV2735",1,1
"ASV2736",1,1
"ASV2737",1,1
"ASV2738",1,1
"ASV2739",1,1
"ASV2740",1,1
"ASV2741",1,1
"ASV2742",1,1
"ASV2744",1,1
"ASV2745",1,1
"ASV2746",1,1
"ASV2747",1,1
"ASV2749",1,1
"ASV275",1,1
"ASV2750",1,1
"ASV2751",1,1
"ASV2752",1,1
"ASV2753",1,1
"ASV2754",1,1
"ASV2755",1,1
"ASV2756",1,1
"ASV2757",1,1
"ASV2758",1,1
"ASV2759",1,1
"ASV276",1,1
"ASV2760",1,1
"ASV2761",1,1
"ASV2762",1,1
"ASV2763",1,1
"ASV2764",1,1
"ASV2765",1,1
"ASV2766",1,1
"ASV2767",1,1
"ASV277",1,1
"ASV2770",1,1
"ASV2771",1,1
"ASV2773",1,1
"ASV2774",1,1
"ASV2775",1,1
"ASV2776",1,1
"ASV2777",1,1
"ASV2778",1,1
"ASV278",NA,NA
"ASV2780",1,1
"ASV2781",1,1
"ASV2782",1,1
"ASV2783",1,1
"ASV2784",NA,NA
"ASV2785",1,1
"ASV2786",1,1
"ASV2787",1,1
"ASV2788",1,1
"ASV279",1,1
"ASV2790",1,1
"ASV2791",1,1
"ASV2792",1,1
"ASV2793",1,1
"ASV2794",1,1
"ASV2795",NA,NA
"ASV2796",1,1
"ASV2797",1,1
"ASV2798",1,1
"ASV2799",1,1
"ASV28",1,1
"ASV280",1,1
"ASV2800",1,1
"ASV2802",1,1
"ASV2803",1,1
"ASV2804",1,1
"ASV2805",1,1
"ASV2806",1,1
"ASV2807",1,1
"ASV2808",1,1
"ASV2809",1,1
"ASV281",1,1
"ASV2811",1,1
"ASV2812",1,1
"ASV2813",1,1
"ASV2814",1,1
"ASV2816",1,1
"ASV2817",1,1
"ASV2819",1,1
"ASV282",1,1
"ASV2820",1,1
"ASV2821",1,1
"ASV2822",1,1
"ASV2823",1,1
"ASV2824",1,1
"ASV2825",1,1
"ASV2826",1,1
"ASV2828",1,1
"ASV2829",1,1
"ASV283",1,1
"ASV2830",1,1
"ASV2831",1,1
"ASV2832",1,1
"ASV2833",1,1
"ASV2834",1,1
"ASV2835",1,1
"ASV2836",1,1
"ASV2837",1,1
"ASV2839",1,1
"ASV2840",1,1
"ASV2841",1,1
"ASV2842",1,1
"ASV2843",1,1
"ASV2844",1,1
"ASV2845",1,1
"ASV2846",1,1
"ASV2847",1,1
"ASV2849",1,1
"ASV285",1,1
"ASV2851",1,1
"ASV2852",1,1
"ASV2853",1,1
"ASV2854",1,1
"ASV2855",1,1
"ASV2856",1,1
"ASV2857",1,1
"ASV2858",1,1
"ASV2859",1,1
"ASV2860",1,1
"ASV2861",NA,NA
"ASV2862",1,1
"ASV2863",1,1
"ASV2864",1,1
"ASV2865",1,1
"ASV2866",1,1
"ASV2868",1,1
"ASV2869",1,1
"ASV287",1,1
"ASV2870",1,1
"ASV2871",1,1
"ASV2872",1,1
"ASV2874",NA,NA
"ASV2875",1,1
"ASV2876",1,1
"ASV2878",1,1
"ASV2879",1,1
"ASV2880",1,1
"ASV2881",1,1
"ASV2882",1,1
"ASV2883",1,1
"ASV2884",1,1
"ASV2885",1,1
"ASV2886",1,1
"ASV2887",1,1
"ASV2888",1,1
"ASV2889",1,1
"ASV289",1,1
"ASV2890",1,1
"ASV2891",1,1
"ASV2892",1,1
"ASV2893",1,1
"ASV2894",1,1
"ASV2895",1,1
"ASV2896",1,1
"ASV2897",1,1
"ASV2898",1,1
"ASV2899",1,1
"ASV29",1,1
"ASV2903",NA,NA
"ASV2904",NA,NA
"ASV2905",1,1
"ASV2906",1,1
"ASV2907",1,1
"ASV2908",1,1
"ASV2909",1,1
"ASV2910",1,1
"ASV2911",1,1
"ASV2912",1,1
"ASV2913",1,1
"ASV2914",1,1
"ASV2915",NA,NA
"ASV2916",NA,NA
"ASV2917",1,1
"ASV2918",1,1
"ASV2919",1,1
"ASV292",1,1
"ASV2920",1,1
"ASV2921",1,1
"ASV2922",1,1
"ASV2923",1,1
"ASV2924",1,1
"ASV2925",1,1
"ASV2926",1,1
"ASV2927",NA,NA
"ASV2929",1,1
"ASV293",NA,NA
"ASV2930",1,1
"ASV2931",1,1
"ASV2932",1,1
"ASV2934",1,1
"ASV2936",1,1
"ASV2937",1,1
"ASV2938",1,1
"ASV2939",1,1
"ASV294",1,1
"ASV2940",1,1
"ASV2942",1,1
"ASV2943",1,1
"ASV2944",1,1
"ASV2945",1,1
"ASV2946",1,1
"ASV2947",1,1
"ASV2948",1,1
"ASV2949",1,1
"ASV2950",1,1
"ASV2951",1,1
"ASV2952",1,1
"ASV2953",1,1
"ASV2954",NA,NA
"ASV2955",1,1
"ASV2956",1,1
"ASV2957",1,1
"ASV2958",1,1
"ASV2959",1,1
"ASV2960",1,1
"ASV2962",1,1
"ASV2963",1,1
"ASV2964",1,1
"ASV2965",1,1
"ASV2966",1,1
"ASV2967",1,1
"ASV2968",1,1
"ASV2969",1,1
"ASV297",1,1
"ASV2970",1,1
"ASV2971",1,1
"ASV2972",1,1
"ASV2973",1,1
"ASV2974",1,1
"ASV2975",1,1
"ASV2976",1,1
"ASV2977",1,1
"ASV2978",1,1
"ASV2979",1,1
"ASV298",NA,NA
"ASV2980",1,1
"ASV2981",1,1
"ASV2982",1,1
"ASV2983",1,1
"ASV2984",1,1
"ASV2985",1,1
"ASV2986",1,1
"ASV2987",1,1
"ASV2988",1,1
"ASV2989",1,1
"ASV299",1,1
"ASV2990",NA,NA
"ASV2991",1,1
"ASV2992",1,1
"ASV2993",1,1
"ASV2994",1,1
"ASV2995",1,1
"ASV2996",1,1
"ASV2997",1,1
"ASV2998",1,1
"ASV2999",1,1
"ASV3",1,1
"ASV3000",1,1
"ASV3001",1,1
"ASV3002",1,1
"ASV3003",1,1
"ASV3004",1,1
"ASV3005",1,1
"ASV3006",1,1
"ASV3007",1,1
"ASV3008",1,1
"ASV3009",1,1
"ASV3010",1,1
"ASV3011",1,1
"ASV3012",NA,NA
"ASV3013",1,1
"ASV3014",1,1
"ASV3015",1,1
"ASV3016",1,1
"ASV3017",1,1
"ASV3018",1,1
"ASV3019",1,1
"ASV302",NA,NA
"ASV3021",1,1
"ASV3022",1,1
"ASV3023",1,1
"ASV3024",1,1
"ASV3025",1,1
"ASV3026",1,1
"ASV3027",1,1
"ASV3028",1,1
"ASV3029",1,1
"ASV303",1,1
"ASV3030",1,1
"ASV3031",1,1
"ASV3032",1,1
"ASV3033",1,1
"ASV3034",1,1
"ASV3036",1,1
"ASV3037",1,1
"ASV3039",1,1
"ASV304",1,1
"ASV3040",1,1
"ASV3041",1,1
"ASV3042",1,1
"ASV3043",1,1
"ASV3044",1,1
"ASV3045",1,1
"ASV3046",1,1
"ASV3047",1,1
"ASV3049",1,1
"ASV305",1,1
"ASV3050",1,1
"ASV3051",1,1
"ASV3053",1,1
"ASV3054",1,1
"ASV3056",1,1
"ASV3057",1,1
"ASV3058",1,1
"ASV3059",1,1
"ASV306",1,1
"ASV3060",1,1
"ASV3061",1,1
"ASV3062",1,1
"ASV3063",1,1
"ASV3065",1,1
"ASV3067",1,1
"ASV3068",1,1
"ASV3069",1,1
"ASV307",1,1
"ASV3072",1,1
"ASV3074",1,1
"ASV3075",1,1
"ASV3077",1,1
"ASV3079",1,1
"ASV3080",1,1
"ASV3081",1,1
"ASV3082",1,1
"ASV3083",1,1
"ASV3084",1,1
"ASV3085",1,1
"ASV3086",1,1
"ASV3088",1,1
"ASV3089",1,1
"ASV309",1,1
"ASV3090",NA,NA
"ASV3091",1,1
"ASV3093",1,1
"ASV3095",1,1
"ASV3096",1,1
"ASV3097",1,1
"ASV3098",1,1
"ASV3099",1,1
"ASV310",1,1
"ASV3100",1,1
"ASV3101",1,1
"ASV3102",1,1
"ASV3104",1,1
"ASV3106",1,1
"ASV3107",1,1
"ASV3108",1,1
"ASV3109",NA,NA
"ASV311",1,1
"ASV3110",1,1
"ASV3111",NA,NA
"ASV3112",1,1
"ASV3113",1,1
"ASV3114",1,1
"ASV3115",1,1
"ASV3116",1,1
"ASV3117",1,1
"ASV3118",1,1
"ASV3119",1,1
"ASV3120",1,1
"ASV3121",1,1
"ASV3122",1,1
"ASV3123",1,1
"ASV3124",1,1
"ASV3125",1,1
"ASV3126",1,1
"ASV3128",1,1
"ASV3129",1,1
"ASV313",1,1
"ASV3130",1,1
"ASV3131",1,1
"ASV3132",1,1
"ASV3133",1,1
"ASV3134",1,1
"ASV3135",1,1
"ASV3136",1,1
"ASV3137",1,1
"ASV3139",1,1
"ASV3140",1,1
"ASV3141",1,1
"ASV3142",1,1
"ASV3143",1,1
"ASV3144",1,1
"ASV3146",1,1
"ASV3147",1,1
"ASV3148",1,1
"ASV3149",NA,NA
"ASV315",1,1
"ASV3150",1,1
"ASV3151",1,1
"ASV3152",1,1
"ASV3153",1,1
"ASV3154",1,1
"ASV3155",1,1
"ASV3157",1,1
"ASV3158",1,1
"ASV3159",1,1
"ASV316",NA,NA
"ASV3160",1,1
"ASV3161",1,1
"ASV3162",1,1
"ASV3163",1,1
"ASV3164",1,1
"ASV3165",1,1
"ASV3166",1,1
"ASV3168",1,1
"ASV317",1,1
"ASV3170",1,1
"ASV3171",1,1
"ASV3172",1,1
"ASV3173",1,1
"ASV3174",1,1
"ASV3175",1,1
"ASV3176",1,1
"ASV3177",1,1
"ASV3178",1,1
"ASV3179",1,1
"ASV318",1,1
"ASV3180",1,1
"ASV3184",1,1
"ASV3185",1,1
"ASV3186",1,1
"ASV3187",1,1
"ASV3188",1,1
"ASV3189",1,1
"ASV319",1,1
"ASV3190",1,1
"ASV3191",1,1
"ASV3192",1,1
"ASV3193",1,1
"ASV3194",1,1
"ASV3195",1,1
"ASV3196",1,1
"ASV3198",1,1
"ASV3199",1,1
"ASV32",1,1
"ASV320",1,1
"ASV3200",1,1
"ASV3202",1,1
"ASV3203",1,1
"ASV3204",1,1
"ASV3206",1,1
"ASV3208",1,1
"ASV3209",1,1
"ASV321",1,1
"ASV3210",1,1
"ASV3212",1,1
"ASV3213",1,1
"ASV3214",1,1
"ASV3215",1,1
"ASV3216",1,1
"ASV3217",1,1
"ASV3219",1,1
"ASV322",1,1
"ASV3220",1,1
"ASV3221",1,1
"ASV3222",1,1
"ASV3223",1,1
"ASV3224",1,1
"ASV3225",1,1
"ASV3226",1,1
"ASV3227",1,1
"ASV3228",1,1
"ASV3229",1,1
"ASV3230",1,1
"ASV3231",1,1
"ASV3232",1,1
"ASV3233",1,1
"ASV3234",1,1
"ASV3235",1,1
"ASV3236",1,1
"ASV3237",1,1
"ASV3238",1,1
"ASV3239",1,1
"ASV324",NA,NA
"ASV3240",NA,NA
"ASV3241",1,1
"ASV3242",1,1
"ASV3243",1,1
"ASV3244",1,1
"ASV3245",1,1
"ASV3246",1,1
"ASV3247",1,1
"ASV3248",1,1
"ASV325",1,1
"ASV3250",1,1
"ASV3251",1,1
"ASV3252",1,1
"ASV3253",1,1
"ASV3254",1,1
"ASV3255",1,1
"ASV3256",1,1
"ASV3257",1,1
"ASV3258",1,1
"ASV3259",NA,NA
"ASV326",1,1
"ASV3260",NA,NA
"ASV3261",1,1
"ASV3262",NA,NA
"ASV3263",NA,NA
"ASV3265",1,1
"ASV3266",1,1
"ASV3268",1,1
"ASV3269",1,1
"ASV327",NA,NA
"ASV3270",1,1
"ASV3271",1,1
"ASV3272",1,1
"ASV3273",1,1
"ASV3274",1,1
"ASV3275",1,1
"ASV3276",1,1
"ASV3277",1,1
"ASV3278",1,1
"ASV3279",NA,NA
"ASV328",1,1
"ASV3280",1,1
"ASV3281",1,1
"ASV3282",1,1
"ASV3283",1,1
"ASV3284",1,1
"ASV3285",1,1
"ASV3287",1,1
"ASV3288",1,1
"ASV3289",1,1
"ASV329",1,1
"ASV3290",1,1
"ASV3292",1,1
"ASV3293",1,1
"ASV3294",1,1
"ASV3295",1,1
"ASV3296",1,1
"ASV3297",1,1
"ASV3299",1,1
"ASV33",NA,NA
"ASV3300",1,1
"ASV3301",1,1
"ASV3302",1,1
"ASV3303",1,1
"ASV3304",1,1
"ASV3305",1,1
"ASV3306",1,1
"ASV3307",1,1
"ASV3308",1,1
"ASV3309",1,1
"ASV331",1,1
"ASV3310",1,1
"ASV3311",1,1
"ASV3312",1,1
"ASV3313",1,1
"ASV3314",1,1
"ASV3315",1,1
"ASV3317",1,1
"ASV3318",1,1
"ASV3319",1,1
"ASV3320",1,1
"ASV3321",1,1
"ASV3322",1,1
"ASV3323",1,1
"ASV3324",1,1
"ASV3325",1,1
"ASV3329",1,1
"ASV333",NA,NA
"ASV3331",1,1
"ASV3333",1,1
"ASV3334",1,1
"ASV3335",1,1
"ASV3336",1,1
"ASV3338",1,1
"ASV3339",1,1
"ASV334",1,1
"ASV3341",1,1
"ASV3342",1,1
"ASV3344",NA,NA
"ASV3345",1,1
"ASV3346",1,1
"ASV3347",1,1
"ASV3349",1,1
"ASV335",1,1
"ASV3350",1,1
"ASV3351",1,1
"ASV3352",1,1
"ASV3353",1,1
"ASV3354",1,1
"ASV3355",1,1
"ASV3356",1,1
"ASV3358",1,1
"ASV3359",1,1
"ASV3360",1,1
"ASV3361",1,1
"ASV3362",1,1
"ASV3363",1,1
"ASV3364",NA,NA
"ASV3365",1,1
"ASV3366",1,1
"ASV3367",1,1
"ASV3368",1,1
"ASV3369",1,1
"ASV337",NA,NA
"ASV3370",1,1
"ASV3371",1,1
"ASV3372",1,1
"ASV3373",1,1
"ASV3374",1,1
"ASV3375",1,1
"ASV3376",1,1
"ASV3377",1,1
"ASV3378",1,1
"ASV3379",1,1
"ASV338",1,1
"ASV3380",1,1
"ASV3381",1,1
"ASV3382",1,1
"ASV3384",1,1
"ASV3386",1,1
"ASV3387",1,1
"ASV3388",1,1
"ASV3389",1,1
"ASV339",1,1
"ASV3390",1,1
"ASV3391",1,1
"ASV3392",1,1
"ASV3393",1,1
"ASV3394",1,1
"ASV3395",1,1
"ASV3396",1,1
"ASV3397",1,1
"ASV3398",1,1
"ASV3399",1,1
"ASV34",1,1
"ASV340",1,1
"ASV3400",NA,NA
"ASV3401",1,1
"ASV3402",1,1
"ASV3403",1,1
"ASV3404",1,1
"ASV3405",1,1
"ASV3406",1,1
"ASV3407",1,1
"ASV3409",1,1
"ASV341",1,1
"ASV3410",1,1
"ASV3411",1,1
"ASV3413",1,1
"ASV3414",1,1
"ASV3417",1,1
"ASV3418",1,1
"ASV3419",1,1
"ASV342",NA,NA
"ASV3420",1,1
"ASV3421",1,1
"ASV3422",1,1
"ASV3423",1,1
"ASV3425",1,1
"ASV3426",1,1
"ASV3427",1,1
"ASV3428",1,1
"ASV3429",1,1
"ASV343",1,1
"ASV3430",1,1
"ASV3431",1,1
"ASV3432",1,1
"ASV3433",1,1
"ASV3434",1,1
"ASV3435",1,1
"ASV3436",1,1
"ASV3437",1,1
"ASV3438",1,1
"ASV3439",1,1
"ASV344",1,1
"ASV3440",1,1
"ASV3441",1,1
"ASV3442",1,1
"ASV3443",1,1
"ASV3444",1,1
"ASV3445",1,1
"ASV3446",1,1
"ASV3447",1,1
"ASV3448",1,1
"ASV3449",1,1
"ASV3450",1,1
"ASV3451",1,1
"ASV3452",1,1
"ASV3453",1,1
"ASV3454",1,1
"ASV3455",1,1
"ASV3456",1,1
"ASV3457",1,1
"ASV3458",1,1
"ASV3459",1,1
"ASV3461",1,1
"ASV3464",1,1
"ASV3465",1,1
"ASV3466",1,1
"ASV3467",1,1
"ASV3468",1,1
"ASV3469",1,1
"ASV347",NA,NA
"ASV3470",1,1
"ASV3471",1,1
"ASV3473",1,1
"ASV3475",1,1
"ASV3476",1,1
"ASV3477",1,1
"ASV3478",1,1
"ASV3479",1,1
"ASV348",1,1
"ASV3480",1,1
"ASV3481",1,1
"ASV3482",1,1
"ASV3483",1,1
"ASV3484",1,1
"ASV3485",1,1
"ASV3486",1,1
"ASV3487",1,1
"ASV3488",1,1
"ASV3489",1,1
"ASV349",1,1
"ASV3491",1,1
"ASV3492",1,1
"ASV3493",1,1
"ASV3494",1,1
"ASV3495",1,1
"ASV3496",1,1
"ASV3497",1,1
"ASV3499",1,1
"ASV35",1,1
"ASV350",1,1
"ASV3500",1,1
"ASV3501",1,1
"ASV3503",1,1
"ASV3504",1,1
"ASV3505",1,1
"ASV3506",1,1
"ASV3508",1,1
"ASV3509",1,1
"ASV351",1,1
"ASV3510",1,1
"ASV3512",1,1
"ASV3513",NA,NA
"ASV3514",NA,NA
"ASV3516",1,1
"ASV3517",1,1
"ASV3518",1,1
"ASV3519",1,1
"ASV3520",1,1
"ASV3521",1,1
"ASV3522",NA,NA
"ASV3523",1,1
"ASV3524",1,1
"ASV3525",1,1
"ASV3526",1,1
"ASV3527",1,1
"ASV3528",1,1
"ASV3529",1,1
"ASV353",1,1
"ASV3530",1,1
"ASV3531",1,1
"ASV3532",1,1
"ASV3533",1,1
"ASV3534",1,1
"ASV3535",1,1
"ASV3536",1,1
"ASV3537",1,1
"ASV3538",1,1
"ASV3539",1,1
"ASV3541",1,1
"ASV3542",1,1
"ASV3543",1,1
"ASV3544",1,1
"ASV3545",1,1
"ASV3546",1,1
"ASV3547",1,1
"ASV3548",1,1
"ASV3549",1,1
"ASV355",1,1
"ASV3551",1,1
"ASV3552",1,1
"ASV3553",1,1
"ASV3554",1,1
"ASV3555",1,1
"ASV3556",1,1
"ASV3557",1,1
"ASV3558",1,1
"ASV3559",1,1
"ASV3560",1,1
"ASV3561",1,1
"ASV3562",1,1
"ASV3563",1,1
"ASV3564",1,1
"ASV3565",1,1
"ASV3566",1,1
"ASV3568",1,1
"ASV3569",1,1
"ASV357",1,1
"ASV3570",1,1
"ASV3571",1,1
"ASV3572",1,1
"ASV3573",1,1
"ASV3574",1,1
"ASV3575",1,1
"ASV3577",1,1
"ASV3578",1,1
"ASV3579",1,1
"ASV358",NA,NA
"ASV3580",1,1
"ASV3581",1,1
"ASV3582",1,1
"ASV3583",1,1
"ASV3584",1,1
"ASV3585",1,1
"ASV3586",1,1
"ASV3587",1,1
"ASV3588",1,1
"ASV3589",1,1
"ASV359",1,1
"ASV3590",1,1
"ASV3591",1,1
"ASV3592",1,1
"ASV3593",1,1
"ASV3594",1,1
"ASV3596",1,1
"ASV3597",1,1
"ASV3598",1,1
"ASV3599",1,1
"ASV360",1,1
"ASV3600",1,1
"ASV3601",1,1
"ASV3602",1,1
"ASV3603",1,1
"ASV3604",1,1
"ASV3605",1,1
"ASV3606",1,1
"ASV3607",1,1
"ASV3608",1,1
"ASV3609",1,1
"ASV361",1,1
"ASV3611",1,1
"ASV3612",1,1
"ASV3613",1,1
"ASV3614",1,1
"ASV3615",1,1
"ASV3616",1,1
"ASV3617",1,1
"ASV3618",1,1
"ASV3619",1,1
"ASV362",NA,NA
"ASV3620",1,1
"ASV3622",1,1
"ASV3623",1,1
"ASV3624",1,1
"ASV3625",1,1
"ASV3626",1,1
"ASV3627",1,1
"ASV3628",1,1
"ASV3629",1,1
"ASV363",1,1
"ASV3631",1,1
"ASV3632",1,1
"ASV3633",1,1
"ASV3634",1,1
"ASV3635",1,1
"ASV3636",1,1
"ASV3637",1,1
"ASV3638",1,1
"ASV3639",1,1
"ASV3640",1,1
"ASV3641",1,1
"ASV3642",1,1
"ASV3643",1,1
"ASV3644",1,1
"ASV3645",1,1
"ASV3646",1,1
"ASV3647",1,1
"ASV3648",1,1
"ASV3649",1,1
"ASV3650",1,1
"ASV3651",1,1
"ASV3652",1,1
"ASV3654",1,1
"ASV3656",1,1
"ASV3657",1,1
"ASV3658",1,1
"ASV3659",1,1
"ASV366",NA,NA
"ASV3660",1,1
"ASV3662",1,1
"ASV3663",1,1
"ASV3664",1,1
"ASV3665",1,1
"ASV3666",1,1
"ASV3667",1,1
"ASV3669",1,1
"ASV3670",1,1
"ASV3671",1,1
"ASV3672",1,1
"ASV3673",1,1
"ASV3674",1,1
"ASV3676",1,1
"ASV3677",NA,NA
"ASV3678",1,1
"ASV3679",1,1
"ASV368",1,1
"ASV3680",1,1
"ASV3681",1,1
"ASV3682",1,1
"ASV3683",1,1
"ASV3684",1,1
"ASV3685",1,1
"ASV3686",1,1
"ASV3687",1,1
"ASV3688",1,1
"ASV3689",1,1
"ASV369",1,1
"ASV3690",1,1
"ASV3691",1,1
"ASV3693",1,1
"ASV3694",1,1
"ASV3695",1,1
"ASV3696",1,1
"ASV3697",1,1
"ASV3698",NA,NA
"ASV37",NA,NA
"ASV370",1,1
"ASV3700",1,1
"ASV3701",1,1
"ASV3703",1,1
"ASV3704",1,1
"ASV3705",1,1
"ASV3706",1,1
"ASV3707",1,1
"ASV3709",1,1
"ASV371",NA,NA
